,Player,MP,Load,rTS%,Box Creation,Passer Rating,Spacing,cTOV%,ScoreVal,PlayVal,FTA/100,FT%,rORB%,rDREB%,OBPM,BPM,IA Pts/75,IA PPG,IA APG,IA RPG,allStar,1stAS_yr,yr2AS
509,Jimmy Walker,1585,30.5,-0.058,3.0,4.8,76.0,0.129,-0.7,0.1,4.4,0.77,-4.1,-7.4,-1.1,-1.6,15.1,7.3,2.6,1.0,1,1970.0,2.0
510,Jo Jo White,1328,32.0,-0.021,2.8,4.3,82.0,0.108,-0.3,-0.1,4.2,0.82,-2.4,-5.5,-0.2,-1.0,18.8,10.0,2.1,2.1,1,1971.0,1.0
511,Joakim Noah,1534,21.1,-0.001,0.9,4.0,83.0,0.142,-0.9,-0.9,6.5,0.69,7.1,3.7,-0.7,1.1,12.6,6.6,1.1,5.4,1,2013.0,5.0
512,Joe Barry Carroll,2919,30.4,0.0,1.7,2.1,86.0,0.132,0.6,-0.8,7.2,0.72,3.6,5.4,0.2,0.0,19.7,18.3,1.3,9.1,0,,
513,Joe Bryant,1203,29.3,-0.052000000000000005,1.3,3.1,68.0,0.12,-0.5,-0.6,5.5,0.63,1.7,0.6,-1.0,-1.7,17.4,7.0,0.8,3.1,0,,
514,Joe Caldwell,1543,30.3,-0.071,0.8,3.8,62.0,0.124,-0.7,-0.4,5.5,0.61,0.5,2.9,-0.9,-2.1,16.4,9.5,1.9,3.9,1,1969.0,4.0
517,Joe Graboski,2515,31.5,-0.002469260444882203,0.8,4.1,75.0,0.126,-0.3,-0.2,5.7,0.69,-2.5,1.4,0.2365919724205865,0.5595666092095547,16.4,15.5,2.5,6.7,0,,
519,Joe Kleine,1180,22.5,-0.025,0.9,2.1,87.0,0.191,-1.1,-1.2,5.2,0.72,4.4,11.3,-2.2,-1.3,12.7,5.0,0.5,4.6,0,,
520,Joe Meriweather,2042,23.7,0.022,1.2,2.3,77.0,0.155,0.4,-0.7,5.3,0.64,2.8,4.3,-0.3,-0.4,15.7,10.0,1.0,5.5,0,,
521,Joe Smith,2821,26.3,-0.019,0.6,2.2,94.0,0.095,0.0,-1.2,7.1,0.77,6.0,3.3,0.5,0.8,17.5,15.0,0.9,8.4,0,,
522,Joe Wolf,1137,22.2,-0.091,1.2,5.3,107.0,0.14400000000000002,-1.7,-0.6,2.3,0.83,-2.0,-0.2,-2.4,-1.4,10.3,7.2,2.0,4.2,0,,
525,John Barnhill,2692,23.3,-0.018000000000000002,1.7,4.2,70.0,0.14800000000000002,-0.4,-0.1,3.9,0.71,-2.7,-5.5,-0.5,-0.2,11.9,10.4,4.1,2.9,0,,
526,John Battle,639,29.4,-0.023,3.4,4.5,72.0,0.119,-0.7,-0.2,7.7,0.73,-4.4,-4.9,-1.3,-2.1,16.0,4.3,1.1,1.0,0,,
527,John Block,1805,29.5,0.006999999999999999,1.0,1.8,90.0,0.149,0.2,-0.9,8.7,0.8,1.7,6.8,-0.7,-1.3,19.4,16.7,1.3,6.5,1,1973.0,5.0
528,John Drew,2289,38.0,-0.011,0.2,2.8,75.0,0.123,0.4,-0.8,10.8,0.71,8.4,7.7,1.0,-0.4,23.7,17.1,1.6,8.7,1,1976.0,1.0
529,John Gianelli,516,21.7,-0.02,0.8,3.2,84.0,0.136,-0.2,-0.7,2.9,0.7,2.4,5.5,-0.9,-0.9,13.6,3.2,0.4,2.3,0,,
530,John Havlicek,2200,27.2,-0.013,1.4,3.7,74.0,0.111,0.2,-0.3,4.1,0.73,-1.1,-0.5,-0.1,1.0,17.3,11.9,2.1,3.9,1,1966.0,3.0
531,John Johnson,2310,34.4,-0.023,2.5,5.0,82.0,0.142,-0.6,0.0,5.6,0.81,-1.4,1.2,-0.1,-1.6,17.2,14.2,4.2,5.0,1,1971.0,0.0
532,John Long,2498,29.1,-0.032,1.5,3.1,82.0,0.086,0.0,-0.6,3.4,0.83,-1.5,-7.4,-1.0,-1.5,18.8,14.8,1.3,3.0,0,,
533,John Lucas,2531,30.5,0.001,3.6,6.3,78.0,0.134,-0.1,0.8,3.2,0.79,-3.9,-6.8,0.9,0.2,14.0,11.1,5.5,2.4,0,,
534,John Mengelt,1438,32.1,0.042,2.9,3.4,82.0,0.13699999999999998,0.4,-0.3,7.6,0.83,-3.1,-6.8,0.2,-0.7,19.9,8.6,1.6,1.4,0,,
535,John Salley,1463,16.1,0.052000000000000005,1.1,3.1,74.0,0.149,-0.4,-0.9,5.6,0.61,1.5,0.1,-0.6,1.7,10.7,4.9,0.6,3.4,0,,
536,John Salmons,504,21.8,-0.017,1.5,5.5,103.0,0.13699999999999998,-1.2,-0.5,3.6,0.74,-2.0,-4.1,-0.9,-1.7,10.9,2.1,0.7,0.9,0,,
538,John Starks,1173,33.3,-0.023,4.6,6.9,102.0,0.096,-0.8,0.5,4.5,0.75,-3.5,-3.8,0.3,1.2,15.4,7.6,3.1,2.1,1,1994.0,3.0
539,John Stockton,1490,29.3,0.005,4.4,7.0,77.0,0.157,-1.2,0.0,5.9,0.74,-4.7,-8.0,-1.5,1.1,10.7,5.1,4.3,1.2,1,1989.0,4.0
540,John Tresvant,756,28.9,0.002,0.9,3.0,79.0,0.161,-0.4,-0.7,8.1,0.73,2.0,8.6,-1.1,-1.4,17.2,7.0,1.3,3.5,0,,
542,John Williams,1773,28.5,-0.041,1.8,5.6,76.0,0.116,-0.7,-0.1,6.0,0.65,0.9,1.1,-0.1,1.3,14.8,8.7,2.2,4.5,0,,
544,Johnny Davis,1451,28.4,-0.002,2.1,3.9,78.0,0.132,0.0,-0.1,6.4,0.79,-1.9,-9.1,0.1,-0.4,16.2,7.6,1.8,1.4,0,,
545,Johnny Dawkins,1682,36.6,-0.046,4.6,6.2,97.0,0.093,-0.8,0.3,5.4,0.8,-3.2,-5.6,-0.6,-1.7,17.8,9.6,3.1,1.9,0,,
546,Johnny Egan,696,29.2,-0.006,3.0,4.1,76.0,0.13,-0.5,-0.2,4.6,0.76,-3.1,-6.6,-0.8,-1.7,15.7,4.5,1.6,0.8,0,,
548,Johnny Moore,1578,32.8,-0.027000000000000003,3.7,6.2,63.0,0.14,-0.7,0.4,5.1,0.61,-2.5,-4.2,-0.1,1.2,14.0,7.0,4.0,2.3,0,,
550,Jon Barry,552,31.9,-0.083,3.7,5.5,99.0,0.119,-1.5,-0.2,4.4,0.67,-4.3,-6.6,-1.9,-1.7,14.2,4.2,1.3,0.9,0,,
551,Jon Koncak,1695,23.1,-0.002,1.4,2.3,73.0,0.134,-0.1,-0.9,7.3,0.61,4.7,5.7,-0.8,0.0,14.9,8.2,0.6,5.7,0,,
552,Jon McGlocklin,852,26.6,-0.024,1.9,4.3,78.0,0.126,-0.2,0.0,3.7,0.79,-2.5,-4.9,-0.6,-1.5,15.0,4.4,1.2,1.1,1,1969.0,3.0
553,Jon Sundvold,1284,32.1,-0.055,4.3,6.6,104.0,0.094,-0.9,0.4,2.7,0.89,-4.6,-7.4,-0.4,-2.1,14.6,6.8,3.0,1.3,0,,
554,Jonas Jerebko,2232,20.1,0.002,0.3,2.4,107.0,0.099,-0.2,-1.2,4.3,0.71,4.6,1.8,0.3,0.2,13.8,9.9,0.8,6.2,0,,
555,Jonas Valanciunas,1482,21.6,0.084,1.5,1.7,95.0,0.158,-0.2,-1.4,6.6,0.79,4.3,5.8,-0.1,-0.2,15.5,9.7,0.8,6.1,0,,
556,Jordan Crawford,867,38.8,-0.079,4.7,6.0,119.0,0.103,-1.6,0.0,4.6,0.89,-1.9,-6.1,-1.1,-2.7,18.9,11.9,2.9,2.5,0,,
557,Jordan Farmar,1090,25.1,-0.026,3.2,4.3,104.0,0.135,-1.2,-0.6,1.8,0.71,-3.0,-4.3,-1.1,-2.4,11.7,4.4,1.9,1.6,0,,
558,Jose Calderon,1487,26.0,-0.04,3.8,7.0,94.0,0.139,-1.3,0.2,3.3,0.85,-3.1,-5.0,-0.2,-1.7,9.6,5.5,4.7,2.1,0,,
559,Josh Howard,1589,25.0,-0.031,0.3,4.2,96.0,0.08800000000000001,0.1,-0.7,4.5,0.7,4.2,1.1,1.3,1.9,14.9,8.8,1.4,5.0,1,2007.0,3.0
560,Josh McRoberts,524,21.8,0.006999999999999999,1.5,5.9,87.0,0.083,-0.7,-0.2,3.6,0.5,3.0,3.5,0.1,0.8,13.0,4.1,1.1,2.9,0,,
561,Josh Smith,2050,25.2,-0.023,1.4,5.6,75.0,0.139,-1.0,-0.4,6.1,0.69,2.2,4.3,-0.4,-0.2,14.2,9.8,1.8,5.9,0,,
562,Jrue Holiday,1767,31.4,-0.017,3.8,6.0,114.0,0.146,-1.1,-0.1,2.6,0.76,-1.6,-5.6,0.0,-0.7,13.4,8.3,4.1,2.6,1,2013.0,3.0
563,Juan Dixon,647,32.6,-0.055,2.9,3.9,109.0,0.107,-1.2,-0.6,3.9,0.8,-3.3,-3.5,-1.2,-2.5,18.1,6.8,1.0,1.7,0,,
564,Jud Buechler,859,18.6,-0.079,0.4,4.6,69.0,0.081,-1.1,-0.6,3.7,0.65,0.7,-3.3,-1.3,-1.7,10.0,3.0,0.6,1.8,0,,
565,Julius Erving,2940,34.9,0.042,2.5,4.0,79.0,0.124,1.1,0.0,7.8,0.78,0.5,2.6,1.8,2.5,22.4,20.7,3.4,7.4,1,1977.0,0.0
566,Junior Bridgeman,1646,29.3,-0.019,1.3,4.2,81.0,0.13,-0.3,-0.3,4.5,0.8,1.3,-2.8,-0.2,-0.5,16.6,8.5,1.9,3.2,0,,
567,Juwan Howard,2348,30.7,-0.022,2.4,4.0,72.0,0.117,-0.4,-0.6,6.3,0.66,2.4,4.7,-0.1,-0.4,18.2,16.7,2.4,8.1,1,1996.0,1.0
568,K.C. Jones,609,20.5,-0.07200000000000001,0.8,4.3,60.0,0.14400000000000002,-1.0,-0.3,4.2,0.6,-3.0,-3.2,-1.4,-1.3,9.8,3.2,1.6,1.5,0,,
571,Kawhi Leonard,1534,19.1,0.046,0.3,2.9,115.0,0.079,0.5,-0.9,3.0,0.77,2.5,1.8,1.7,2.1,13.5,8.6,1.2,5.1,1,2016.0,4.0
572,Keith Askins,843,17.8,-0.036000000000000004,0.3,3.4,105.0,0.152,-1.4,-1.1,2.2,0.7,1.9,-3.0,-0.9,-0.6,9.8,3.6,0.6,2.3,0,,
573,Keith Bogans,1787,19.9,-0.017,0.3,3.5,98.0,0.11,-0.6,-0.9,3.0,0.63,0.9,-0.6,0.1,-1.6,11.8,7.2,1.4,4.1,0,,
574,Keith Erickson,646,23.2,-0.093,0.7,3.3,67.0,0.138,-1.0,-0.6,3.9,0.66,-0.1,-0.3,-2.1,-2.8,12.3,3.1,0.6,1.5,0,,
575,Keith Van Horn,2325,34.3,-0.008,1.8,3.1,125.0,0.108,0.4,-0.7,6.9,0.85,0.3,0.4,1.2,1.4,21.7,20.2,1.7,6.4,0,,
576,Kelly Tripucka,3077,32.4,0.032,2.3,3.4,84.0,0.13,0.5,-0.5,9.3,0.8,1.0,-5.2,0.8,0.4,20.5,20.1,2.9,5.1,1,1982.0,0.0
577,Kelvin Cato,1007,18.7,-0.028,0.6,2.5,83.0,0.123,-0.8,-1.2,6.6,0.69,4.6,4.2,-1.3,0.9,11.7,4.0,0.3,3.3,0,,
578,Kemba Walker,1792,39.8,-0.063,6.0,6.2,110.0,0.08800000000000001,-1.3,0.3,6.3,0.79,-3.5,-1.1,-1.1,-2.5,18.5,13.3,4.9,3.6,1,2017.0,5.0
580,Kendall Gill,1944,35.3,-0.04,3.7,6.0,85.0,0.116,-0.9,0.1,4.6,0.84,-0.5,-3.9,-0.2,0.0,17.6,10.7,3.4,3.1,0,,
581,Kendrick Perkins,548,19.7,-0.014,0.7,3.3,77.0,0.203,-1.4,-1.2,5.4,0.64,5.8,11.4,-2.0,-0.4,10.9,2.5,0.4,2.7,0,,
583,Kenny Anderson,1086,37.5,-0.101,4.4,6.2,81.0,0.117,-1.7,0.0,4.4,0.75,-3.0,-4.4,-1.5,-2.7,15.5,6.7,2.9,1.8,1,1994.0,2.0
584,Kenny Carr,733,28.7,-0.039,1.2,1.4,70.0,0.192,-0.9,-1.2,5.2,0.65,1.3,7.3,-2.6,-2.4,16.3,7.6,0.6,4.6,0,,
585,Kenny Gattison,1104,22.2,-0.015,0.9,2.0,69.0,0.171,-1.0,-1.3,7.3,0.63,2.3,5.0,-1.9,-2.1,13.1,4.9,0.4,3.3,0,,
586,Kenny Sears,2069,26.1,0.057,0.8,2.8,83.0,0.149,0.9,-0.5,7.0,0.8,-0.5,4.4,1.0,0.6,17.6,14.2,1.6,5.9,0,,
587,Kenny Smith,2170,31.2,-0.001,4.7,6.9,95.0,0.128,-0.6,0.6,4.5,0.82,-4.6,-8.5,0.4,-0.6,14.1,13.0,6.2,2.1,0,,
588,Kenny Thomas,1797,24.5,-0.046,0.4,3.8,99.0,0.131,-0.8,-0.9,5.9,0.66,3.6,3.5,-0.2,-0.5,13.3,8.3,1.5,5.7,0,,
590,Kenyon Martin,2272,26.4,-0.046,1.9,3.7,70.0,0.121,-0.7,-0.7,4.4,0.63,1.1,4.6,-0.7,0.7,15.0,12.2,1.9,6.8,1,2004.0,3.0
591,Kerry Kittles,3012,30.2,-0.013,2.7,4.9,113.0,0.073,-0.1,-0.1,3.9,0.77,-2.6,-5.7,1.1,0.9,17.9,16.2,2.9,3.7,0,,
592,Kevin Duckworth,753,23.5,0.009000000000000001,1.5,1.8,83.0,0.192,-0.8,-1.3,7.3,0.69,3.1,5.2,-1.8,-0.5,14.1,4.9,0.4,3.1,1,1989.0,2.0
593,Kevin Durant,2768,37.8,-0.021,3.7,3.8,114.0,0.111,-0.6,-0.6,8.1,0.87,-2.5,-3.8,-0.5,-1.8,22.5,19.6,2.4,4.1,1,2010.0,2.0
594,Kevin Edwards,2349,37.8,-0.077,3.8,5.0,84.0,0.135,-1.5,-0.3,4.0,0.75,-2.7,-4.6,-2.2,-3.1,17.3,13.2,4.0,3.2,0,,
595,Kevin Gamble,990,25.4,-0.017,2.5,5.9,88.0,0.087,-0.4,0.1,5.3,0.79,-1.5,-6.2,0.2,-0.8,13.7,4.9,1.5,1.5,0,,
596,Kevin Garnett,2293,24.0,-0.02,1.6,4.1,80.0,0.104,-0.6,-0.6,3.3,0.71,3.0,3.1,0.0,0.6,14.3,10.3,1.7,6.0,1,1997.0,1.0
597,Kevin Grevey,504,28.0,-0.064,1.1,3.3,91.0,0.117,-0.7,-0.6,5.2,0.9,-1.0,-6.7,-1.5,-1.9,16.5,3.7,0.5,1.0,0,,
598,Kevin Johnson,1043,29.9,-0.011,4.8,6.8,87.0,0.13,-0.6,0.6,5.3,0.82,-4.5,-4.2,-0.7,0.2,14.2,8.8,4.8,2.3,1,1990.0,2.0
599,Kevin Loughery,845,30.4,-0.08,2.3,4.6,70.0,0.129,-1.1,-0.2,4.8,0.71,-3.3,-5.5,-1.6,-2.1,14.8,5.5,1.7,1.1,0,,
600,Kevin Love,2048,27.2,-0.006,0.6,3.7,93.0,0.11,-0.3,-0.9,8.6,0.79,9.8,12.6,0.5,-0.3,17.5,11.4,1.1,9.1,1,2011.0,2.0
601,Kevin McHale,1645,26.9,0.022,1.4,2.1,74.0,0.119,0.5,-0.9,4.6,0.68,4.5,0.3,0.0,0.6,18.6,9.7,0.6,4.3,1,1984.0,3.0
602,Kevin Ollie,764,24.2,-0.023,3.2,7.5,76.0,0.116,-1.2,0.3,4.9,0.73,-3.6,-4.8,-0.6,-0.8,9.9,3.2,2.0,1.3,0,,
606,Kevin Willis,1785,25.2,-0.046,1.3,1.8,74.0,0.111,-0.5,-1.1,4.9,0.66,4.4,7.5,-1.3,-2.0,15.8,9.0,0.4,6.3,1,1992.0,7.0
607,Keyon Dooling,1237,32.7,-0.009000000000000001,4.9,5.9,103.0,0.125,-1.0,0.0,7.7,0.7,-4.8,-7.1,-0.4,-1.6,15.5,6.1,2.3,1.1,0,,
608,Kiki Vandeweghe,1376,25.3,-0.05,1.4,3.9,86.0,0.107,-0.6,-0.5,5.1,0.82,-0.5,0.7,-0.7,-1.3,14.6,10.3,1.5,4.8,1,1983.0,2.0
609,Kirk Hinrich,2706,33.3,-0.006,4.7,6.6,120.0,0.117,-0.8,0.3,3.2,0.8,-4.0,-5.3,0.2,0.4,14.1,12.5,6.8,3.2,0,,
610,Klay Thompson,1608,34.3,0.018000000000000002,4.1,4.3,127.0,0.096,0.1,-0.3,2.9,0.87,-3.7,-5.0,1.0,-0.2,21.1,13.6,2.2,2.4,1,2015.0,3.0
611,Kobe Bryant,1103,35.5,0.008,3.1,3.0,118.0,0.149,-0.6,-0.9,7.9,0.82,-1.3,-5.1,-0.1,-1.0,19.9,7.6,1.2,1.8,1,1998.0,1.0
612,Kosta Koufos,565,23.7,-0.004,1.7,2.3,85.0,0.101,-0.3,-1.1,4.7,0.71,5.3,3.9,-0.8,-1.0,15.6,4.7,0.4,2.9,0,,
614,Kurt Nimphius,1085,20.7,-0.049,1.0,4.0,70.0,0.121,-0.7,-0.6,4.8,0.58,2.8,8.7,-1.1,-0.6,11.7,5.3,0.9,4.6,0,,
615,Kurt Rambis,1131,17.0,-0.01,0.3,3.2,55.0,0.189,-0.9,-0.9,4.8,0.5,5.0,8.1,-1.1,2.2,9.3,4.3,0.8,5.2,0,,
616,Kurt Thomas,1655,25.2,-0.009000000000000001,1.4,2.2,72.0,0.123,-0.5,-1.2,5.7,0.66,2.7,7.9,-1.1,0.4,16.3,9.1,0.6,5.8,0,,
617,Kwame Brown,817,25.1,-0.07,1.4,4.7,81.0,0.116,-1.0,-0.5,6.6,0.71,3.1,5.2,-1.4,-1.4,13.6,4.8,0.8,3.3,0,,
618,Kyle Lowry,2089,29.2,-0.009000000000000001,4.5,4.7,94.0,0.106,-0.9,-0.3,8.4,0.7,-3.1,-3.4,-0.3,-0.7,14.7,9.4,3.5,2.9,1,2015.0,7.0
619,Kyle Macy,1469,26.9,0.033,2.6,4.4,106.0,0.111,-0.2,-0.3,3.7,0.9,-3.3,-6.8,-0.2,-0.7,16.2,7.6,1.7,1.5,0,,
621,Lamar Odom,2767,35.1,-0.002,3.5,5.6,109.0,0.13699999999999998,-0.6,-0.1,7.8,0.72,0.4,4.0,0.6,0.7,18.5,16.9,4.1,7.3,0,,
623,Lamond Murray,2556,30.9,-0.071,1.4,3.5,106.0,0.104,-1.1,-0.8,5.3,0.75,-0.6,-2.8,-1.2,-2.5,17.3,13.8,1.5,4.2,0,,
624,Lance Thomas,630,16.5,0.014,0.3,1.6,88.0,0.127,-1.1,-1.6,5.3,0.84,4.0,-0.3,-1.1,-2.4,11.3,4.5,0.3,3.2,0,,
625,LaPhonso Ellis,2749,25.0,0.013,0.8,3.5,83.0,0.108,0.0,-0.8,5.5,0.75,4.1,4.6,0.4,1.3,16.1,13.6,1.6,8.3,0,,
628,Larry Hughes,988,35.4,-0.037000000000000005,1.2,4.3,84.0,0.105,-1.0,-0.6,8.3,0.71,3.6,-1.3,0.2,0.0,20.1,9.9,1.6,3.7,0,,
629,Larry Johnson,3047,29.9,0.017,0.5,4.4,91.0,0.084,0.5,-0.4,6.3,0.83,4.6,7.3,2.0,1.7,18.6,17.6,3.1,9.8,1,1993.0,1.0
630,Larry Kenon,2936,31.7,0.025,1.7,3.6,87.0,0.118,1.1,-0.2,5.2,0.82,3.6,7.1,1.7,1.4,21.2,20.5,2.7,9.7,1,1978.0,1.0
631,Larry Nance,1186,27.9,0.005,1.8,3.2,70.0,0.151,-0.5,-0.8,4.8,0.64,2.5,1.3,-0.9,0.4,16.6,6.4,0.9,3.2,1,1985.0,3.0
632,Larry Siegfried,996,27.5,-0.004,2.3,4.4,77.0,0.124,-0.3,-0.1,5.5,0.78,-3.2,-5.8,-0.6,0.1,16.0,5.5,1.7,1.1,0,,
634,Larry Steele,1311,20.3,0.018000000000000002,0.8,5.1,71.0,0.184,-0.9,-0.4,3.2,0.72,0.2,1.7,-1.1,-1.0,10.0,4.3,1.9,2.8,0,,
635,LaSalle Thompson,987,22.3,0.02,0.5,1.7,78.0,0.198,-0.6,-1.3,6.3,0.65,7.9,13.2,-1.4,1.1,13.8,5.1,0.4,4.9,0,,
636,Latrell Sprewell,2741,29.5,0.005,3.0,4.5,108.0,0.122,-0.3,-0.2,5.0,0.75,-3.2,-5.8,0.6,0.4,15.9,14.3,3.3,3.3,1,1994.0,1.0
637,Leandro Barbosa,1500,28.5,0.037000000000000005,3.8,4.7,117.0,0.14400000000000002,-0.6,-0.5,2.1,0.77,-4.0,-6.7,-0.3,1.1,15.2,8.1,2.3,1.6,0,,
639,Ledell Eackles,1459,38.6,-0.018000000000000002,2.5,3.8,90.0,0.109,-0.5,-0.5,11.3,0.79,0.6,-7.2,-0.2,-2.3,22.9,10.7,1.3,2.1,0,,
640,Len Chappell,1241,28.3,0.009000000000000001,1.0,2.3,68.0,0.129,0.5,-0.7,7.5,0.62,3.3,6.6,0.0,-0.9,19.5,7.6,0.7,3.4,1,1964.0,1.0
642,Lenny Wilkens,1898,26.1,0.012,1.8,3.8,71.0,0.131,-0.1,-0.3,5.9,0.71,-1.9,-4.7,-0.1,0.2,15.6,9.9,2.5,2.5,1,1963.0,2.0
643,Leroy Ellis,1628,20.1,-0.026,0.7,2.1,79.0,0.16699999999999998,-0.1,-0.7,5.1,0.66,2.2,4.7,-1.4,-0.8,12.6,6.4,0.6,4.0,0,,
644,Lester Conner,1416,22.2,-0.008,1.6,7.3,69.0,0.14400000000000002,-1.0,0.2,3.7,0.7,-1.6,-1.3,-0.6,0.6,9.5,4.8,3.0,2.8,0,,
645,Lindsey Hunter,2172,38.2,-0.087,5.3,6.6,106.0,0.113,-1.5,0.3,3.3,0.73,-4.0,-6.3,-1.2,-1.8,15.4,10.4,4.4,2.2,0,,
646,Lionel Hollins,1891,32.8,-0.032,3.4,5.3,72.0,0.135,-0.7,0.1,5.8,0.72,-3.9,-6.7,-0.5,-0.5,16.2,10.4,4.0,2.0,1,1978.0,2.0
647,Lionel Simmons,2978,35.2,-0.058,2.7,5.1,78.0,0.111,-0.9,-0.2,7.4,0.74,0.7,6.2,-0.4,0.2,18.5,17.9,3.8,8.7,0,,
648,Lonnie Shelton,2104,27.2,0.0,0.9,3.4,77.0,0.134,0.1,-0.5,4.7,0.71,4.8,6.6,0.2,0.7,17.1,11.3,1.7,6.8,1,1982.0,5.0
649,Lorenzen Wright,1936,18.7,-0.032,0.7,2.8,64.0,0.112,-0.5,-1.1,4.1,0.59,5.8,2.8,0.3,-0.8,11.8,7.3,0.6,5.9,0,,
650,Lou Hudson,2446,30.1,0.006999999999999999,1.4,2.4,70.0,0.103,0.4,-0.7,5.5,0.71,-1.3,-4.1,0.5,-0.6,20.8,15.8,1.2,3.3,1,1969.0,2.0
651,Lou Williams,688,33.1,-0.02,4.7,6.4,99.0,0.106,-1.1,0.1,7.1,0.7,-2.4,-5.4,-0.3,-2.1,15.6,4.4,1.9,1.1,0,,
652,Louis Orr,1787,28.6,0.004,1.1,3.8,82.0,0.115,0.2,-0.5,5.4,0.81,3.5,-1.4,0.4,-0.4,17.9,10.2,1.4,4.3,0,,
653,Loy Vaught,1178,19.7,-0.024,0.3,2.9,72.0,0.101,-0.8,-1.1,3.0,0.66,4.6,7.4,-0.8,-1.8,12.5,5.2,0.5,4.5,0,,
654,Luc Longley,991,21.5,-0.037000000000000005,1.6,3.2,80.0,0.195,-1.5,-1.1,4.1,0.66,0.6,8.4,-2.4,0.2,10.9,4.2,0.7,3.7,0,,
655,Luc Mbah a Moute,2114,18.8,-0.028,0.3,3.9,79.0,0.133,-0.9,-0.9,4.7,0.73,4.8,2.7,-0.7,0.5,11.1,7.4,1.1,5.9,0,,
656,Lucious Harris,1165,27.5,-0.05,2.2,4.7,85.0,0.124,-1.5,-0.6,5.2,0.73,-2.4,-1.9,-1.6,-2.3,14.2,5.5,1.3,2.0,0,,
657,Lucius Allen,1162,25.8,-0.015,2.1,5.1,70.0,0.12,-0.1,0.2,4.0,0.7,-1.6,-6.9,0.8,0.5,13.5,6.2,2.3,1.9,0,,
658,Luis Scola,2024,26.5,0.008,1.5,2.8,73.0,0.106,-0.1,-1.0,6.2,0.67,4.6,4.6,0.1,1.1,17.1,10.6,1.3,6.4,0,,
660,Luke Jackson,2590,23.9,-0.006,0.5,2.2,78.0,0.149,0.3,-0.7,6.3,0.71,3.5,8.1,-0.3,0.4,15.6,13.2,1.3,7.6,0,,
661,Luke Ridnour,1114,31.6,-0.02,4.0,5.7,115.0,0.12,-0.9,-0.1,3.8,0.82,-2.0,-6.6,-0.4,-0.7,14.7,5.9,2.4,1.5,0,,
663,Luol Deng,1663,31.4,-0.033,2.4,4.2,101.0,0.118,-0.8,-0.6,5.1,0.74,0.5,1.1,-0.3,-0.5,17.3,11.7,2.2,5.0,1,2012.0,7.0
664,M.L. Carr,2643,24.7,0.006999999999999999,0.9,3.3,75.0,0.141,0.1,-0.5,4.7,0.74,1.9,2.8,0.3,0.2,15.3,12.7,2.1,6.7,0,,
667,Malik Allen,2318,24.6,-0.064,1.0,2.2,87.0,0.122,-1.1,-1.3,2.9,0.8,0.8,0.6,-1.9,-2.1,14.4,10.2,0.7,5.1,0,,
669,Malik Sealy,672,35.1,-0.067,1.6,3.6,89.0,0.122,-1.0,-0.7,5.5,0.69,3.5,-5.2,-0.8,-1.9,18.8,5.5,0.7,1.8,0,,
670,Manu Ginobili,1431,27.7,0.037000000000000005,2.6,5.6,107.0,0.134,-0.5,-0.3,6.4,0.74,-1.7,-5.5,0.8,3.4,15.6,7.9,2.0,2.2,1,2005.0,2.0
672,Marc Gasol,2521,24.4,0.046,2.3,3.8,88.0,0.14300000000000002,-0.3,-0.7,7.9,0.73,4.3,5.3,-0.4,0.7,15.7,12.4,1.9,7.6,1,2012.0,3.0
673,Marc Iavaroni,1612,17.9,-0.029,0.5,3.0,75.0,0.218,-1.0,-0.9,3.3,0.69,1.3,0.0,-1.8,-0.6,9.2,5.0,0.9,4.0,0,,
674,Marc Jackson,1410,27.7,0.016,1.2,2.6,106.0,0.123,-0.5,-1.2,6.9,0.8,2.7,5.4,-0.5,-1.0,18.3,13.1,1.1,6.8,0,,
676,Marco Belinelli,882,28.6,0.003,3.9,5.5,115.0,0.115,-0.8,-0.1,2.9,0.77,-4.1,-7.2,0.1,-1.0,15.7,8.5,2.1,1.6,0,,
677,Marcus Camby,1897,32.3,-0.013,2.7,2.9,87.0,0.115,-0.2,-0.8,7.4,0.69,1.7,2.9,-0.4,1.3,20.2,15.0,1.5,6.0,0,,
678,Marcus Morris,1154,23.6,0.002,1.1,3.3,110.0,0.098,-0.5,-0.9,3.2,0.65,0.7,-0.1,0.6,0.1,15.4,7.9,0.8,3.5,0,,
680,Mario Chalmers,2626,28.3,0.004,4.4,6.1,114.0,0.12,-0.8,0.2,3.9,0.77,-3.6,-5.9,0.4,2.1,12.7,10.4,5.4,2.8,0,,
681,Mario Elie,624,19.7,0.073,0.4,3.8,96.0,0.102,-0.2,-0.8,6.5,0.85,1.4,-2.6,0.9,0.3,13.1,6.5,1.2,3.0,0,,
683,Mark Blount,1098,15.1,0.023,0.7,2.8,84.0,0.191,-1.3,-1.4,3.1,0.7,4.3,0.5,-1.9,1.7,9.4,3.9,0.5,3.3,0,,
684,Mark Bryant,803,20.5,-0.032,1.1,3.1,63.0,0.117,-0.7,-0.9,4.0,0.58,1.9,2.5,-1.4,-1.4,12.3,4.5,0.5,2.9,0,,
685,Mark Eaton,1528,18.6,-0.084,1.3,5.0,79.0,0.22,-1.4,-0.5,2.6,0.66,-0.8,11.1,-2.6,1.0,8.1,4.1,1.2,5.3,1,1989.0,6.0
687,Mark Olberding,1949,23.3,0.068,1.0,2.7,85.0,0.168,0.6,-0.6,6.9,0.79,2.2,1.4,0.2,0.3,16.0,9.8,1.3,4.7,0,,
